# CONCEPTICON
# Created by: QLC Research Group (M. Cysouw, V. Kirchhoff, S. Nicolai, N.  Müller, J.-M. List [rearrange and modify this order, I put me as last person, since I didn't do quite much, not to indicate that I'm some kind of a leader in this project])
# Created on: 2014-05-06 13:04
# Contact: <whatemailtousehere?>
OMEGA_WIKI	GLOSS	WOLD	POS
619975	plant	8.531	Verb
3269	root	8.54	Noun
6343	branch	8.55	Noun
2124	leaf	8.56	Noun
1487	flower	8.57	Noun
3854	tree	8.6	Noun
2597	oak	8.61	Noun
880926	beech	8.62	Noun
7898	birch	8.63	Noun
706003	pine	8.64	Noun
843491	fir	8.65	Noun
419370	acorn	8.66	Noun
1510857	vine	8.67	Noun
420209	tobacco	8.68	Noun
6968	smoke	8.69	Verb
489864	pipe	8.691	Noun
1490199	tree stump	8.72	Noun
1510861	tree trunk	8.73	Noun
5439	bark	8.75	Noun
1510865	sap	8.76	Noun
528656	palm tree	8.81	Noun
419639	coconut	8.82	Noun
492550	citrus fruit	8.83	Noun
369665	banana	8.84	Noun
1510869	banyan	8.85	Noun
1336889	sweet potato	8.91	Noun
397763	millet	8.911	Noun
1510873	sorghum	8.911	Noun
395385	cassava	8.92	Noun
395809	manioc	8.92	Noun
366683	pumpkin	8.931	Noun
366683	squash	8.931	Noun
848903	bamboo	8.94	Noun
1310853	sugar cane	8.941	Noun
1510877	fish poison	8.96	Noun
1072992	nettle	8.97	Noun
2444	mushroom	8.98	Noun
1223914	larch	8.991	Noun
1506160	needle	8.993	Noun
1506163	cone	8.996	Noun
361201	almond	8.99901	Noun
1510881	amomum	8.99902	Noun
1510885	anatto	8.99903	Noun
5781	apple	8.99905	Noun
474721	ash tree	8.99906	Noun
358603	broccoli	8.99908	Noun
1510889	bromelia	8.99909	Noun
424192	carrot	8.9991	Noun
1318006	cashew	8.99911	Noun
5063	coniferous tree	8.99914	Noun
1300711	cottontree	8.99915	Noun
1510893	creeper	8.99916	Noun
1275135	dung	8.99918	Noun
1510897	guava	8.99921	Noun
1043887	kohlrabi	8.99924	Noun
1510901	liana	8.99925	Noun
1510905	lima beans	8.99926	Noun
1510909	lupin	8.99927	Noun
395778	mango	8.9993	Noun
1510912	mangrove	8.99931	Noun
157304	melon	8.99932	Noun
397763	millet	8.99933	Noun
343780	onion	8.99935	Noun
5821	orange	8.99936	Noun
726623	pea	8.99937	Noun
393831	pear	8.99938	Noun
984034	pineapple	8.99939	Noun
941830	plum	8.99941	Noun
3137	reed	8.99943	Noun
1510916	rubber tree	8.99944	Noun
1510919	straw	8.99946	Noun
1319542	sugar beet	8.99947	Noun
3708	tar	8.99948	Noun
1510923	taro	8.99949	Noun
