ID	Gloss	abvd	alpher	asjp	dolgopolsky	ids	ielex	jachontov	jachontov100	jachontov65	leipzig	matisoff	starostin	swadesh100	swadesh200
958	rodent	-	-	-	-	-	-	-	-	-	-	rat/rodent <69>	-	-	-
959	send (V)	-	-	-	-	send <10.63>	-	-	-	-	-	-	-	-	-
960	eyelid	-	-	-	-	eyelid <4.213>	-	-	-	-	-	-	-	-	-
961	defeat (V)	-	-	-	-	defeat <20.42>	-	-	-	-	-	-	-	-	-
962	vein	-	-	-	-	vein, artery <4.151>	-	-	-	-	-	-	-	-	-
963	cloth	-	-	-	-	cloth <6.21>	-	-	-	-	-	-	-	-	-
964	work (V)	to work <83>	-	-	-	-	-	-	-	-	-	-	-	-	-
965	read (V)	-	-	-	-	read <18.52>	-	-	-	-	-	-	-	-	-
966	chicken	-	-	-	-	chicken <3.55>	-	-	-	-	-	-	-	-	-
967	precipice	-	-	-	-	cliff, precipice <1.222>	-	-	-	-	-	-	-	-	-
968	cousin	-	-	-	-	cousin <2.55>	-	-	-	-	-	-	-	-	-
969	dead	-	-	-	-	die, dead <4.75>	-	-	-	-	-	-	-	-	-
970	honey	-	-	-	-	honey <5.84>	-	-	-	-	-	-	-	-	-
971	spirit	-	-	-	-	soul, spirit <16.11>	-	-	-	-	-	-	-	-	-
972	save (V)	-	-	-	-	save, rescue <11.25>	-	-	-	-	-	-	-	-	-
973	trunk	-	-	-	-	tree trunk <8.73>	-	-	-	-	-	-	-	-	-
974	carry on shoulder (V)	-	-	-	-	carry-on-shoulder <10.613>	-	-	-	-	-	-	-	-	-
975	pole	-	-	-	-	post, pole <7.56>	-	-	-	-	-	-	-	-	-
976	sugar	-	-	-	-	sugar cane <8.941>	-	-	-	-	-	-	-	-	-
977	chop (V)	-	-	-	-	chop, hew <9.222>	-	-	-	-	-	-	-	-	-
978	moon	-	-	-	-	-	-	-	3938 <49>	-	-	-	-	-	-
979	grease	-	-	-	-	grease, fat <5.791>	-	-	-	-	-	-	-	-	-
980	shame	-	-	-	-	shame (noun) <16.45>	-	-	-	-	-	-	-	-	-
981	skull	-	-	-	-	skull <4.202>	-	-	-	-	-	-	-	-	-
982	rainbow	-	-	-	-	rainbow <1.59>	-	-	-	-	-	-	-	-	-
983	goat	-	-	-	-	goat <3.36>	-	-	-	-	-	-	-	-	-
984	blink (V)	-	-	-	-	blink <4.215>	-	-	-	-	-	-	-	-	-
985	mute	-	-	-	-	mute <4.96>	-	-	-	-	-	-	-	-	-
986	marry (V)	-	-	-	-	marry <2.33>	-	-	-	-	-	-	-	-	-
987	multitude	-	-	-	-	multitude, crowd <13.19>	-	-	-	-	-	-	-	-	-
988	want	-	-	-	-	desire, want <16.62>	-	-	-	-	-	-	-	-	-
989	go down (V)	-	-	-	-	go down <10.473>	-	-	-	-	-	-	-	-	-
990	bowl	-	-	-	-	bowl <5.33>	-	-	-	-	-	-	-	-	-
991	pillow	-	-	-	-	pillow <7.421>	-	-	-	-	-	-	-	-	-
992	spindle	-	-	-	-	spindle <6.32>	-	-	-	-	-	-	-	-	-
993	brother	-	-	-	-	brother <2.44>	-	-	-	-	-	-	-	-	-
994	spoon	-	-	-	-	spoon <5.37>	-	-	-	-	-	-	-	-	-
995	dye (V)	-	-	-	-	dye <6.39>	-	-	-	-	-	-	-	-	-
996	luck	-	-	-	-	good fortune, luck <16.18>	-	-	-	-	-	-	-	-	-
997	chimney	-	-	-	-	chimney <7.33>	-	-	-	-	-	-	-	-	-
998	mare	-	-	-	-	mare <3.44>	-	-	-	-	-	-	-	-	-
999	fungus	-	-	-	-	-	-	-	-	-	-	mushroom/fungus <49>	-	-	-
1000	swelling	-	-	-	-	swelling <4.853>	-	-	-	-	-	-	-	-	-
1001	slip (V)	-	-	-	-	slide, slip <10.42>	-	-	-	-	-	-	-	-	-
1002	table	-	-	-	-	table <7.44>	-	-	-	-	-	-	-	-	-
1003	fever	-	-	-	-	fever <4.841>	-	-	-	-	-	-	-	-	-
1004	circle	-	-	-	-	circle <12.82>	-	-	-	-	-	-	-	-	-
1005	noble	-	-	-	-	noble, nobleman <19.36>	-	-	-	-	-	-	-	-	-
1006	mistake	-	-	-	-	mistake, error <16.77>	-	-	-	-	-	-	-	-	-
1007	barley	-	-	-	-	barley <8.44>	-	-	-	-	-	-	-	-	-
1008	by-and-by	-	by-and-by <11>	-	-	-	-	-	-	-	-	-	-	-	-
1009	morning	-	-	-	-	morning <14.44>	-	-	-	-	-	-	-	-	-
1010	field	-	-	-	-	-	-	-	-	-	-	field <102>	-	-	-
1011	hat	-	-	-	-	hat, cap <6.55>	-	-	-	-	-	-	-	-	-
1012	2SG pronoun	-	-	-	-	-	-	-	-	-	6333 <9>	-	-	-	-
1013	divorce (V)	-	-	-	-	divorce <2.341>	-	-	-	-	-	-	-	-	-
